"id","name","bestname","richname","fourthname","doublename","mails","address","imgname","password","created_at","updated_at"
1,ホテルニューオータニ,ガーデンタワー キングスイート,ガーデンタワー クイーンスイート,ガーデンタワー デュークスイート,ガーデンタワー カウントスイート,"1@1", 東京都千代田区紀尾井町４−１,newotani,"1","2017-12-14 14:42:06.0","2017-12-14 14:42:06.0"
2,リッツカールトン東京,ザ・リッツ・カールトン スイート,プレジデンシャル スイート,クラブ　カールトン　スイート,クラブ　タワー　スイート,"2@2","東京都港区赤坂東京ミッドタウン, ９丁目-７-1",ritu,"2","2017-12-14 14:42:14.0","2017-12-14 14:42:14.0"
3,シャングリ・ラ ホテル東京,エグゼクティブスイート,プレミアスイート,シャングリ・ラスイート,プレジデンシャルスイート,"3@3",東京都千代田区丸の内１丁目８−３,syangurira,"3","2017-12-14 14:42:30.0","2017-12-14 14:42:30.0"
4,帝国ホテル,プレミアスイート,デラックススイート,ジュニアスイート,デラックス,"4@4",東京都千代田区内幸町１丁目１−１,empor,"4","2017-12-14 14:42:45.0","2017-12-14 14:42:45.0"
5,パレスホテル東京,エグゼクティブスイート,ガーデンスイート,ガーデンスイート,パークスイート,"11@11",東京都千代田区丸の内1-1-1,pares,"111","2020-03-22 14:35:35.0","2020-03-22 14:35:35.0"
6,ザ・ペニンシュラ東京,エグゼクティブスイート,デラックスルーム,プレミアルーム,グランドプレミアガーデンルーム,"11@11",東京都千代田区有楽町1-8-1,penishura,"111","2020-03-22 14:38:28.0","2020-03-22 14:38:28.0"
7,リーガロイヤルホテル東京,デラックスフロア,エグゼクティブフロア,バリアフリールーム,ジュニアスイート,"11@11",東京都新宿区戸塚町1-104-19,regroyyal,"1","2020-03-22 14:38:31.0","2020-03-22 14:38:31.0"
8,インターコンチネンタルホテル大阪,クラブインターコンチネンタルダブル,クラブインターコンチネンタルツイン,クラブインターコンチネンタルエグゼクティブスイート,クラブインターコンチネンタルコーナースイート,"11@11",大阪府大阪市北区大深町3番60号,contioosaka,"1","2020-03-22 14:38:34.0","2020-03-22 14:38:34.0"
9,ザ・リッツ・カールトン大阪,クラブスーペリア,クラブデラックス,クラブジュニアスイート,クラブスイート,"11@11",大阪市北区梅田2丁目5番25号,rithuoosaka,"1","2020-03-22 14:38:38.0","2020-03-22 14:38:38.0"
10,クロスホテル京都,プレミアム スイート,和スイート,デラックス ファミリー ツイン,デラックス コーナー キング,"11@11",京都市中京区河原町通三条下る大黒町71-1,kurouskyoto,"1","2020-03-22 14:38:41.0","2020-03-22 14:38:41.0"
11,ダイワロイヤルホテルグランデ京都,エグゼクティブプレミアダブル,スーペリアダブルA.B,デラックスダブル〈Type-A〉,デラックスダブル〈Type-B〉,"11@11",京都府京都市南区東九条西岩本町15,grandekyoto,"1","2020-03-22 14:38:44.0","2020-03-22 14:38:44.0"
12,函館ベイ,特別室,和洋室,デラックスツイン,ツイン,"11@11",北海道函館市豊川町12-6,hakodatebei,"1","2020-03-22 14:38:48.0","2020-03-22 14:38:48.0"
13,センチュリーマリーナ函館,ロイヤルスイート,センチュリースイート,ファミリースイート,コーナースイート,"11@11",北海道函館市大手町22番13号,centuryhakodate,"1","2020-03-22 14:38:55.0","2020-03-22 14:38:55.0"
14,ハレクラニ沖縄,オーキッドスイート,ハレクラニスイート,オーシャンテラススイート,コーラルスイート,"11@11",沖縄県国頭郡恩納村字名嘉真1967-1,hareruokinawa,"1","2020-03-22 14:38:57.0","2020-03-22 14:38:57.0"
15,ハイアットリージェンシー瀬良垣アイランド沖縄,瀬良垣アイランドスイート,サンセットコーナースイート,サンセットスイート,オーシャンコーナースイート,"11@11",沖縄県国頭郡恩納村字瀬良垣１１０８,airanndookinawa,"1","2020-03-22 14:38:59.0","2020-03-22 14:38:59.0"
